Date,N1,N2,N3,N4,N5
2014-09-19,13,18,20,38,39
2014-09-12,2,9,17,25,29
2014-09-05,26,31,33,39,40
2014-08-29,1,8,9,12,37
2014-08-22,19,20,40,42,47
2014-08-15,17,38,41,43,47
2014-08-08,15,19,21,34,40
2014-08-01,5,18,33,38,47
2014-07-25,3,10,36,43,47
2014-07-18,6,11,15,18,45
2014-07-11,3,10,16,35,45
2014-07-04,3,10,11,13,42
2014-06-27,11,33,35,42,44
2014-06-20,6,10,23,33,41
2014-06-13,1,8,15,18,39
2014-06-06,6,9,19,37,38
2014-05-30,7,17,25,26,35
2014-05-23,6,21,33,37,47
2014-05-16,9,28,36,42,43
2014-05-09,1,11,14,22,43
2014-05-02,9,31,32,33,34
2014-04-25,4,7,10,39,48
2014-04-18,12,32,40,44,49
2014-04-11,1,7,14,22,44
2014-04-04,10,16,28,30,33
2014-03-28,10,32,35,38,45
2014-03-21,8,18,35,38,42
2014-03-14,6,7,9,13,30
2014-03-07,7,14,15,20,39
2014-02-28,2,17,21,22,45
2014-02-21,2,4,21,30,41
2014-02-14,19,21,22,28,45
2014-02-07,16,18,20,36,49
2014-01-31,12,17,29,39,40
2014-01-24,4,28,30,36,46
2014-01-17,4,7,17,25,29
2014-01-10,8,18,22,33,40
2014-01-03,1,16,34,36,37
2013-12-27,2,15,33,40,43
2013-12-20,9,12,22,37,40
2013-12-13,9,19,24,28,49
2013-12-06,1,8,18,25,47
2013-11-29,17,25,32,35,45
2013-11-22,1,38,39,42,47
2013-11-15,3,19,32,43,48
2013-11-08,18,25,28,34,42
2013-11-01,7,10,13,26,27
2013-10-25,9,25,39,41,46
2013-10-18,7,22,24,25,41
2013-10-11,2,11,23,29,34
2013-10-04,1,7,16,21,48
2013-09-27,6,10,21,34,36
2013-09-20,2,6,15,18,24
2013-09-13,3,10,18,31,43
2013-09-06,3,7,20,32,44
2013-08-30,6,9,10,17,43
2013-08-23,4,10,25,30,47
2013-08-16,5,32,33,38,49
2013-08-09,7,26,32,34,49
2013-08-02,14,23,29,33,37
2013-07-26,4,13,19,25,43
2013-07-19,7,18,19,33,37
2013-07-12,7,27,33,47,48
2013-07-05,15,16,17,19,50
2013-06-28,6,8,23,33,49
2013-06-21,5,14,21,23,50
2013-06-14,1,25,46,47,48
2013-06-07,6,9,11,29,35
2013-05-31,5,9,12,23,40
2013-05-24,2,4,9,20,41
2013-05-17,4,6,10,13,32
2013-05-10,6,9,31,33,35
2013-05-03,14,16,28,44,48
2013-04-26,11,14,19,23,49
2013-04-19,17,18,22,24,25
2013-04-12,8,19,22,32,40
2013-04-05,22,31,37,38,41
2013-03-29,1,22,27,37,50
2013-03-22,5,12,21,43,48
2013-03-15,4,30,32,41,50
